"branch_id","society_name","approved_amount"
201," האגודה הישראלית לגלישה אוירית",0
113,"""מכבי רמת יצחק"" ברמת גן",0
167,".I-S.K.I.F חדרה - העמותה לאמנויות לחימה",0
98,"500 וואט עמקים עמותה למצויינות וקידום ספורט האופניים בעמק",0
131,"502300400",25953.103629438392
154,"510623721 | קאנטרי ג' תל אביב",0
99,"512390683 | עוצמה האתלט ראשל""צ",32659.772967269506
169,"580055937 | מועדון ישראלי לרצים איילות",22470.013395296468
160,"580233245 | הפועל חיפה - הר הכרמל",29129.51104032404
160,"580235869 | איילות תל אביב",58259.39668855755
169,"580235869 | איילות תל אביב",86509.55157189141
99,"580314581 | מועדון התעופה - הפועל מופת בת ים",32659.772967269506
169,"580329290 | איילות רוכבי אופניים (ע""ר)",11235.006697648234
130,"580353076 | הפועל ערד",0
160,"580416824 | ע.ל.ה רעננה",29129.885648233514
169,"580475093 | ילדי אילת",14605.508706942705
142,"580694891 | עמותת לקרוס אשקלון",0
142,"580695948 | עמותת לקרוס באר טוביה",0
154,"A.B.M",11668.098597167056
176,"Eilat Swimming",6238.158756424873
175,"International",0
101,"M-A-CLUB",0
175,"RY Ranch",0
176,"TLV Nemos",0
176,"TLV SWIM",12840.654420276269
101,"Team saka",0
106,"U18",0
98,"hapo-el",0
156,"life line",434504.80396343337
111,"salty group",61259.907548547904
101,"teamgordon",0
137,"א.כ. נס ציונה",245294.27042080433
99,"א.ל אומנויות לחימה",1675.5960432916181
138,"א.ס נווה מונוסון",0
138,"א.ס רמה""ש ירק השדה",511612.07578868483
138,"א.ס. אשקלון",154369.10517547044
139,"א.ס. הפועל עומר",27445.490337739488
121,"א.ס. רמת השרון",132950.4136816535
137,"א.ס. רמת-השרון",229931.37248213182
121,"א.ס.א אוניברסיטת תל אביב",24315.68762049713
138,"א.ס.סביון",58441.840965092066
121,"א.ק.ט.י - אגודת קופצי טרמפולינה ישראלית",0
108,"אביבים",27714.49734298524
140,"אגודת ב. פתח תקווה",3132.3393416873096
129,"אגודת הטניס בקרית ביאליק",16460.80915617511
167,"אגודת הפועל נתניה",0
136,"אגודת כדורגל המכתש גבעתיים",0
136,"אגודת ספורט אוניברסיטה בן גוריון",0
211,"אגודת ספורט אוניברסיטה בן גוריון",0
129,"אגודת ספורט אוניברסיטת בן גוריון בנגב",25515.09146618923
136,"אגודת ספורט אוניברסיטת תל-אביב",479429.9697809661
136,"אגודת ספורט אשדוד",136581.79371667054
129,"אגודת ספורט הפועל עומר",0
136,"אגודת ספורט חולון מור",0
129,"אגודת ספורט כפר ורדים",20976.730838003496
139,"אגודת ספורט כפר ורדים",9187.760713921372
136,"אגודת ספורט נורדיה ירושלים",163898.15246000467
136,"אגודת ספורט רמת אליהו",108707.95826428881
129,"אגודת ספורט רמת אליהו כדורגל מחלקת נוער",5484.145471665664
124,"אגודת קיאקים זבולון ת""א",17571.337088148815
109,"אדם בספורט",28555.929282731868
109,"אדם בספורט גודו בראשון לציון",3846.9127531141376
125,"אדמה רוח ואש",0
136,"אהלי טמרה",86966.36661143106
100,"אוהדי הספורט הקסמאוי",45135.021631923235
121,"אולימפיה מכבי מבואות חרמון",0
109,"אולימפיה מכבי קרית שמונה",0
149,"אומנויות לחימה - סמבו ספורט",0
99,"אומנויות לחימה-סמבו",0
130,"אופק קריית אונו",17288.589728855364
121,"אורות חיפה",11187.06540714887
125,"אחי יהודה",200743.9577511988
136,"אחי עכו",0
131,"אחים לחיים",0
98,"איגוד האופניים בישראל (ע""ר)",0
100,"איגוד האיגרוף בישראל",0
112,"איגוד הג'יו ג'יטסו",0
114,"איגוד הדמקה בישראל",0
200,"איגוד הורדת הידיים בישראל",0
131,"איגוד הטריאתלון",0
135,"איגוד הכדורמים",0
187,"איגוד הכדורסל בישראל",0
197,"איגוד הכדורשת הישראלי",0
168,"איגוד הקראטה המסורתי",0
129,"איגוד ספורטיבי אליצור כוכב יאיר",0
98,"איגוד רוכבי האופניים בתל אביב (ע""ר)",88135.82049647298
109,"איזי גודו הרצליה",0
136,"איחוד בני בקה",157208.43195143304
136,"איחוד בני כפר קרע",0
136,"איחוד בני מג'דל כרום",78804.90759097367
136,"איחוד בני שפרעם",197346.75500286277
136,"איחוד הפועל ביר אל מכסור",30103.742288572288
136,"איחוד צעירי אבו גוש",0
136,"איחוד צעירי איכסל סמיר",0
131,"איילות רוכבי אופניים",37667.5543998486
98,"איילות רוכבי אופניים (ע""ר)",85335.55438227541
104,"איילות תל אביב",0
119,"אייס דרים נס ציונה ",52071.20202650319
119,"אייס חולון ",52071.20202650319
119,"אייס סיטי באר שבע ",0
128,"אייקליימב כולנו יכולים",0
170,"איל""ן",6435.638076583958
192,"איל""ן",656535
193,"איל""ן",222949.27383623144
128,"אימונים טיפוס עצמה",0
138,"אינטר עליה ת""א יפו",0
107,"איספא - איגוד ישראלי לספורט ביליארד",0
109,"איפון לקידום הגודו בשרון",86916.55491112958
167,"אל-נאדי אל-אורתודוקסי - עמותת ספורט בנצרת (ע""ר)",12932.401600882627
109,"אלוף הגודו בבאר שבע",0
121,"אלופה",0
145,"אלחמסה - כפר מאגר",0
121,"אליצור אלקנה",3373.0032259424015
136,"אליצור בית אל",0
138,"אליצור בית אל",30283.49940918407
109,"אליצור בית שמש",0
121,"אליצור בית שמש",0
138,"אליצור בית שמש",39138.32379783438
138,"אליצור ג.עציון/אפרת",196183.55367743026
138,"אליצור גבעת שמואל",60261.99931164796
138,"אליצור הר חברון",114714.24995496478
121,"אליצור חבל יבנה",0
138,"אליצור חבל יבנה",108865.14651157301
138,"אליצור חולון",324676.8942505114
138,"אליצור טירת הכרמל",0
138,"אליצור יבנה",205382.7323478614
136,"אליצור יהוד יוטל",0
136,"אליצור יפו תל אביב",40472.8090768583
138,"אליצור ירושלים",114463.36326395306
177,"אליצור ירושלים",0
138,"אליצור כ. יאיר יובל",55342.65242906446
121,"אליצור כוכב יאיר",0
139,"אליצור כוכב יאיר",79862.84312870116
139,"אליצור כפר סבא",0
139,"אליצור כרמיאל",115200.38433609105
104,"אליצור לוד",0
121,"אליצור לוד",0
138,"אליצור לוד",81808.73865736372
121,"אליצור מ.א שומרון",0
130,"אליצור מ.א. שומרון",0
177,"אליצור מ.א. שומרון",7454.073155582585
138,"אליצור מודיעין",36895.1016193763
156,"אליצור מטה בינימין",17333.968243222076
138,"אליצור מטה בנימין",39994.29015540391
177,"אליצור מטה בנימין - חשמונאים",0
177,"אליצור מרכז שחמט צפון",7002.21799934727
138,"אליצור נוה דוד רמלה",400343.97084974725
121,"אליצור נחל שורק",0
138,"אליצור נחל שורק",10478.208859902868
138,"אליצור נתניה עירוני",282862.44574855163
139,"אליצור עירוני אשקלון",112373.38103949986
210,"אליצור עירוני אשקלון - חופים",0
138,"אליצור עירוני רעננה",80529.70846789201
138,"אליצור פתח תקוה",80628.09540554367
177,"אליצור פתח תקוה",8844.68045273127
121,"אליצור פתח תקווה",0
130,"אליצור קריית אתא",7717.929909124257
138,"אליצור קרית אתא לאטי",124853.02387996939
138,"אליצור ראשון לציון",0
121,"אליצור רחובות",0
138,"אליצור רחובות",44274.121943251565
138,"אליצור רמת גן",22137.060971625782
121,"אליצור רעננה",0
177,"אליצור רעננה",0
138,"אליצור שומרון חלפ",108865.14651157301
138,"אליצור שפיר",56572.48914971032
138,"אליצור תל אביב",187525.5031640833
100,"אלכופוף אלמאסיה - נצרת",0
98,"אלסדרה",0
150,"אלפא דאנס - ספורט אקדמי",33957.810195163314
163,"אלפארוק - העמותה לטיפוח וקידום ספורט",0
100,"אלפה - אשדוד פרוספריטי",52117.58246975388
98,"אלריאדה מן אג'ל בלדי שפרעם (ע""ר)",0
109,"אלרן",0
95,"אם.אם.אי חובבני בישראל",0
210,"אמ.פי ספורט חוף חיפה",0
156,"אנדרדוגס פוטבול",121337.77770255454
176,"אס רמת השרון",59858
136,"אס""א המכללה למנהל",0
128,"אס""א טכניון",0
211,"אס""א טכניון",0
104,"אס""א טכניון חיפה",12444.476816430404
