Date,Project,In,Out,Hours,Price/hr,Total ($),Comment
2026-07-21,DIM מדיניות,10:55,11:46,00:51,59.00,50.15,פגישה לגבי DIM מדיניות
2026-07-21,מסכי נשים,11:57,17:20,02:38,59.00,155.42,QA השוואת רשויות • QA השוואת רשויות • סיום QA רשויות + פגישת צוות
2026-07-21,מנהלתי - כללי,14:31,15:40,01:09,59.00,68.53,דיילי
2026-07-21,איגודים ואגודות,13:37,14:11,00:33,59.00,33.38,QA תקציב אגודות
2026-07-22,מסכים למורן,10:30,13:46,02:16,59.00,133.93,בדיקת סכימת מתקנים - הכנה לפגישה • מתקנים פגישה
2026-07-22,מנהלתי - כללי,08:49,15:00,01:07,59.00,66.37,דיילי • דיילי עם טובה • סינכרון עם אייל
2026-07-22,הישגיות,16:10,17:15,01:05,59.00,64.03,מעבר על ETL
2026-07-23,מנהלתי - כללי,08:04,11:04,01:36,59.00,94.41,מענה לשאלות צוות וסינכרון • דיילי
2026-07-23,הישגיות,08:24,08:45,00:20,59.00,19.97,סיכום מסקנות לטובה
2026-07-26,מסכים למורן,12:00,14:36,02:36,59.00,154.07,מתקנים פגישה
2026-07-26,מנהלתי - כללי,10:40,17:26,00:42,59.00,41.30,דיילי • תיאום עם אייל לגבי מצב הדיבוג בפרויקט
2026-07-27,DIM מדיניות,10:37,12:00,01:22,59.00,80.64,פגישה לגבי DIM מדיניות
2026-07-27,איגודים ואגודות,08:29,15:10,02:49,59.00,166.32,QA תקציב אגודות • QA תקציב אגודות
2026-07-28,איגודים ואגודות,08:58,13:38,04:18,59.00,254.31,QA תקציב אגודות • QA תקציב אגודות
2026-07-29,מסכים למורן,09:11,10:25,01:13,59.00,72.50,מתקנים - עריכת אקסל לשליחה
2026-07-29,תחומים - פאקט אחוזים,12:27,13:36,01:08,59.00,67.27,New...
2026-07-30,מסכי נשים,12:21,13:15,00:36,59.00,36.16,מעבר ויזואלי על ספורטאיות ושימור • מעבר ויזואלי על ספורטאיות ושימור
2026-07-30,מסכים למורן,14:30,15:55,01:25,59.00,84.47,מתקנים - עריכת אקסל לשליחה
2026-07-30,מנהלתי - כללי,10:30,12:01,01:31,59.00,89.96,תיאום עם אייל לגבי מצב הדיבוג בפרויקט
2026-07-30,תנאי סף,08:37,10:30,01:52,59.00,111.06,בחינת הסוגים השונים של המבחנים
2026-08-02,מסכי נשים,15:57,16:22,00:25,59.00,25.16,מעבר ויזואלי על מאמנות
2026-08-02,מנהלתי - כללי,11:18,11:25,00:07,59.00,7.10,דיילי
2026-08-02,תחומים - פאקט אחוזים,08:29,09:10,00:41,59.00,40.51,בחינת שיטות ניקוד שונות
2026-08-02,תנאי סף,08:29,08:29,00:00,59.00,0.03,בחינת הסוגים השונים של המבחנים
2026-08-03,מנהלתי - כללי,10:00,10:56,00:56,59.00,55.37,דיילי + סיום נכים
2026-08-04,DIM מדיניות,10:30,11:19,00:49,59.00,48.77,פגישה לגבי DIM מדיניות
2026-08-04,מסכי נשים,15:25,17:24,01:59,59.00,117.02,QA מאמנות
2026-08-04,חפיפה מיכל,12:19,14:58,01:19,59.00,77.95,חפיפה כללית • חפיפה כללית
2026-08-05,מנהלתי - כללי,10:04,12:37,01:31,59.00,89.91,תיאום מול מור ומיכל • תיאום מול מור ומיכל • תאום מול אייל על הטבלאות • תאום מול אייל על הטבלאות
2026-08-05,תחומים - פאקט אחוזים,10:47,11:56,00:51,59.00,50.36,סגירה כולל נכים • סגירה כולל נכים
2026-08-05,תנאי סף,12:38,17:06,00:55,59.00,54.65,סיכום עם מור על מייל שליחה • הסבר למיכל על מימוש
