"entity","field","value","source_key","run","date"
"EU27_2020","gov_sport_budget_annual","53475.4 MIO EUR, 2020","ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/gov_10a_exp (A.MIO_EUR.S13.GF0801.TE, 2020-2023)","2026-08-09a@OR","2026-08-09"
"EU27_2020","gov_sport_budget_annual","56888.2 MIO EUR, 2021","ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/gov_10a_exp (A.MIO_EUR.S13.GF0801.TE, 2020-2023)","2026-08-09a@OR","2026-08-09"
"EU27_2020","gov_sport_budget_annual","60847.8 MIO EUR, 2022","ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/gov_10a_exp (A.MIO_EUR.S13.GF0801.TE, 2020-2023)","2026-08-09a@OR","2026-08-09"
"EU27_2020","gov_sport_budget_annual","67760.6 MIO EUR, 2023","ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/gov_10a_exp (A.MIO_EUR.S13.GF0801.TE, 2020-2023)","2026-08-09a@OR","2026-08-09"
"EU27_2020","gov_sport_pct_gdp","0.4%, 2023","ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/gov_10a_exp (A.PC_GDP.S13.GF0801.TE, 2023)","2026-08-09a@OR","2026-08-09"
"Austria","gov_sport_budget_annual","1089.7/1230.0/1355.9/1570.2 MIO EUR for 2020/2021/2022/2023","ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/gov_10a_exp (A.MIO_EUR.S13.GF0801.TE, 2020-2023)","2026-08-09a@OR","2026-08-09"
"Austria","gov_sport_pct_gdp","0.3%, 2023","ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/gov_10a_exp (A.PC_GDP.S13.GF0801.TE, 2023)","2026-08-09a@OR","2026-08-09"
"Belgium","gov_sport_budget_annual","1835.4/1977.2/2140.5/2313.8 MIO EUR for 2020/2021/2022/2023","ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/gov_10a_exp (A.MIO_EUR.S13.GF0801.TE, 2020-2023)","2026-08-09a@OR","2026-08-09"
"Belgium","gov_sport_pct_gdp","0.4%, 2023","ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/gov_10a_exp (A.PC_GDP.S13.GF0801.TE, 2023)","2026-08-09a@OR","2026-08-09"
"Bulgaria","gov_sport_budget_annual","148.8/159.2/101.6/152.5 MIO EUR for 2020/2021/2022/2023","ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/gov_10a_exp (A.MIO_EUR.S13.GF0801.TE, 2020-2023)","2026-08-09a@OR","2026-08-09"
